jobTitle,location,description,jobType,skills,jobId,combined_features
FPnA Lead (Non CA),{Bangalore},"Work location: Prathik Tech Park, Electronic City Ph-1, Bengaluru, Karnataka.

Shift timings: 3 PM to 12 Midnights

WORK FROM OFFICE

 

Title: Lead –FPnA (Non CA)

Experience: 6 to 7 Yrs

Mandatory Skills:

•              Non-CA (M.Com,MBA-Finance,CA Inter) with post qualification experience of 6 to 7 years primarily in Financial Planning & Analysis (FP&A) and also good experience in General Accounting month end close and consolidation

•              Excellent stakeholder management skills and interpersonal skills.

•              Demonstrates the ability to manage multiple clients and diverse team

Job Description:

•              Working closely with the leadership team to formulate the business's medium to a long-term financial and strategic plan

•              Work with Business Unit heads to build their annual budgets and forecasts.

•              Producing models to project long-term growth and determine the impacting business factors.

•              Delivery of competitor analysis, market trends and associated commentary to the Leadership team

•              Analyzing financial and operational results to better understand company performance.

•              Support month end close task, Journals, allocations, reporting and consolidation",Permanent,"['{""stakeholder', 'management', 'skills""', '""financial', 'planning', 'and', 'analysis""}']",JDFL5348,"Work location: Prathik Tech Park, Electronic City Ph-1, Bengaluru, Karnataka.

Shift timings: 3 PM to 12 Midnights

WORK FROM OFFICE

 

Title: Lead –FPnA (Non CA)

Experience: 6 to 7 Yrs

Mandatory Skills:

•              Non-CA (M.Com,MBA-Finance,CA Inter) with post qualification experience of 6 to 7 years primarily in Financial Planning & Analysis (FP&A) and also good experience in General Accounting month end close and consolidation

•              Excellent stakeholder management skills and interpersonal skills.

•              Demonstrates the ability to manage multiple clients and diverse team

Job Description:

•              Working closely with the leadership team to formulate the business's medium to a long-term financial and strategic plan

•              Work with Business Unit heads to build their annual budgets and forecasts.

•              Producing models to project long-term growth and determine the impacting business factors.

•              Delivery of competitor analysis, market trends and associated commentary to the Leadership team

•              Analyzing financial and operational results to better understand company performance.

•              Support month end close task, Journals, allocations, reporting and consolidation ['{""stakeholder', 'management', 'skills""', '""financial', 'planning', 'and', 'analysis""}']"
QA Automation Engineer,{Hyderabad},Looking for a Remote QA automation engineer who must have excellent knowledge of Java development. The project is about the QA testing tool so the resource has to deploy or implement features and test the tool when required by automation. We need Resources who can do development in Java if needed. The resource must be working experience with CD/CI. The resource must have QA automation knowledge using Selenium and other tools like Cucumber and others. Good Database knowlwdge.,Permanent,"['{""qa', 'automation', '""', 'java}']",JDQA2737,"Looking for a Remote QA automation engineer who must have excellent knowledge of Java development. The project is about the QA testing tool so the resource has to deploy or implement features and test the tool when required by automation. We need Resources who can do development in Java if needed. The resource must be working experience with CD/CI. The resource must have QA automation knowledge using Selenium and other tools like Cucumber and others. Good Database knowlwdge. ['{""qa', 'automation', '""', 'java}']"
Junior Process Associate Outbound calling,{Bengaluru},Key Responsibilities:  Will be primarily making Outbound calls or taking calls to process the invoic,Permanent,"['{""outbound', 'calling""', '""""', '""voice', 'process""}']",JDJP1224,"Key Responsibilities:  Will be primarily making Outbound calls or taking calls to process the invoic ['{""outbound', 'calling""', '""""', '""voice', 'process""}']"
Data Scientist,{Bangalore},"Classification: All - Finance / Accounts / Investment Banking

Skills Required: SQL, Python, Machine Learning, Natural Language Processing (NLP),NoSQL, PyTorch Software Library, Scikit-learn, TensorFlow Software Library
Job Description

Experience: 3-5 Years
Location: Bangalore
Notice Period: Immediate-30 days
Interview process: Round 1: Assignment and Round 2: Technical Interview

Responsibilities:

1.Design, Implement and Evaluate models and Design machine learning systems(NLP, text analytics, information retrieval, search, and recommendation systems, Knowledge graph, conversational system, Time-series based modelling, forecasting)
2.Design, development, evaluate and deploy innovative and highly scalable ML to improve the quality of products.
3.You should be passionate about working with data sets and be someone who loves to bring datasets together and use machine learning and analytical techniques to answer business questions and deliver actionable user-insights to build the best products and models.
4.Rapidly prototype integration of latest research in the field of ML/DL into the product.
Work closely with team of high performing data scientist and single ownership to identify opportunities, design, and assess improvements to ML Engine & Products

Role Skills:

3-5 years of hands-on experience in building machine learning systems for large datasets.
Ability to break down and frame business problems into data science solutions and hands-on capability to create MVP out of it and run a DS project end to end independently.
In-depth knowledge on supervised and unsupervised machine learning algorithms including classification, clustering, and regression.
Experience in NLP (Sequence segmentation, Labeling and parsing, Knowledge extraction, Question answering, Multi text learning, ontology, taxonomy building), Machine Learning.
Experience in Entity Extraction, Entity Linking, Clustering algorithms.
Proficient in Math & Deep Learning (VAE, RNN, LSTM, CNN, attention models, Transfomer etc.), machine learning(svm, random forest), Clustering, topic modeling(LDA, LSA) and graph models.
Experience in Python, Scikit-learn, Pytorch, Keras, Tensorflow
Experience of implementing Deep Learning models into production
Familiarity with distributed computing.
Experience with SQL and/or No-SQL modelling.
Excellent communication, analytical and problem-solving skills.
B.S./B.S.E./MS degree in Applied Math, Data Science, Computer Science, Physics, or Similar Technical Field
Preferred Qualifications:

Passion to dive deep to resolve problems at their root.
Experience in Data Governance, Data quality, Model Governance & MLops is a huge plus. Functional knowledge of platforms such as MLFLOW, Hopsworks/Sagemaker feature store/feast/Tecton, Seldon, DVC.
Experience on building fair & explainable ML based product.
Experience on federated learning, differential privacy, reinforcement learning.
Experience on A/B testing, federated learning, differential privacy.
Experience of git, flask, restful APIs.
Experience working in a fast-paced, high tech environment.",Permanent,"['{sql', 'python', '""machine', 'learning""', '""natural', 'language', 'processing""}']",JDDS6273,"Classification: All - Finance / Accounts / Investment Banking

Skills Required: SQL, Python, Machine Learning, Natural Language Processing (NLP),NoSQL, PyTorch Software Library, Scikit-learn, TensorFlow Software Library
Job Description

Experience: 3-5 Years
Location: Bangalore
Notice Period: Immediate-30 days
Interview process: Round 1: Assignment and Round 2: Technical Interview

Responsibilities:

1.Design, Implement and Evaluate models and Design machine learning systems(NLP, text analytics, information retrieval, search, and recommendation systems, Knowledge graph, conversational system, Time-series based modelling, forecasting)
2.Design, development, evaluate and deploy innovative and highly scalable ML to improve the quality of products.
3.You should be passionate about working with data sets and be someone who loves to bring datasets together and use machine learning and analytical techniques to answer business questions and deliver actionable user-insights to build the best products and models.
4.Rapidly prototype integration of latest research in the field of ML/DL into the product.
Work closely with team of high performing data scientist and single ownership to identify opportunities, design, and assess improvements to ML Engine & Products

Role Skills:

3-5 years of hands-on experience in building machine learning systems for large datasets.
Ability to break down and frame business problems into data science solutions and hands-on capability to create MVP out of it and run a DS project end to end independently.
In-depth knowledge on supervised and unsupervised machine learning algorithms including classification, clustering, and regression.
Experience in NLP (Sequence segmentation, Labeling and parsing, Knowledge extraction, Question answering, Multi text learning, ontology, taxonomy building), Machine Learning.
Experience in Entity Extraction, Entity Linking, Clustering algorithms.
Proficient in Math & Deep Learning (VAE, RNN, LSTM, CNN, attention models, Transfomer etc.), machine learning(svm, random forest), Clustering, topic modeling(LDA, LSA) and graph models.
Experience in Python, Scikit-learn, Pytorch, Keras, Tensorflow
Experience of implementing Deep Learning models into production
Familiarity with distributed computing.
Experience with SQL and/or No-SQL modelling.
Excellent communication, analytical and problem-solving skills.
B.S./B.S.E./MS degree in Applied Math, Data Science, Computer Science, Physics, or Similar Technical Field
Preferred Qualifications:

Passion to dive deep to resolve problems at their root.
Experience in Data Governance, Data quality, Model Governance & MLops is a huge plus. Functional knowledge of platforms such as MLFLOW, Hopsworks/Sagemaker feature store/feast/Tecton, Seldon, DVC.
Experience on building fair & explainable ML based product.
Experience on federated learning, differential privacy, reinforcement learning.
Experience on A/B testing, federated learning, differential privacy.
Experience of git, flask, restful APIs.
Experience working in a fast-paced, high tech environment. ['{sql', 'python', '""machine', 'learning""', '""natural', 'language', 'processing""}']"
Application Developer OraclePL/SQL,{BangaloreChennaiPune},"
Should have exp in C,Pro C development,Oracle PL/SQL
",Permanent,['{c++}'],JDAD8170,"
Should have exp in C,Pro C development,Oracle PL/SQL
 ['{c++}']"
Angular Developer,{hyderabad},"Work with other team members.
Design and implement visually aesthetic user interfaces.
Identify issues with front end code and rectify them to remove bugs.
Create unit tests to ensure code is functioning as expected.
Create well written documentation.
Ensure front end code is able to query APIs.
Audit code to identify bottlenecks of performance and fixing them.
Should have  the technical ability to implement user interfaces using JavaScript and the Angular framework. 
Should  know the best practices and modern ways of creating interfaces and ensure the interface is able to interact with backend APIs. 
Should also need to have great communication and collaboration skills as you will need to interact with fellow frontend and backend developers regularly to ensure components can be integrated together.
Skills Angular framework and JavaScript.UX/UI.
",Permanent,['{angular}'],JDAD4411,"Work with other team members.
Design and implement visually aesthetic user interfaces.
Identify issues with front end code and rectify them to remove bugs.
Create unit tests to ensure code is functioning as expected.
Create well written documentation.
Ensure front end code is able to query APIs.
Audit code to identify bottlenecks of performance and fixing them.
Should have  the technical ability to implement user interfaces using JavaScript and the Angular framework. 
Should  know the best practices and modern ways of creating interfaces and ensure the interface is able to interact with backend APIs. 
Should also need to have great communication and collaboration skills as you will need to interact with fellow frontend and backend developers regularly to ensure components can be integrated together.
Skills Angular framework and JavaScript.UX/UI.
 ['{angular}']"
O2C Credit Management Sr PA,{Bengaluru},JOB DESCRIPTION  •             Identify potential bad debts & plan to reduce amount of Bad & doubtfu,Permanent,"['{o2c', '""', 'credit', 'management""}']",JDOC9296,"JOB DESCRIPTION  •             Identify potential bad debts & plan to reduce amount of Bad & doubtfu ['{o2c', '""', 'credit', 'management""}']"
Java fullstack Engineer Associate,{Chennai},"•Understand requirement and translate that to product features.
•Participate in Scrum meetings and express the work done and the plan clearly. Participate in scrum ceremonies and clearly communicate.
•Develop applications using Front end, middleware, and database related technologies.
•Should be hands in developing and implementing best practices and write smart piece of code.
•Coding standard should be followed, and the code should be highly performant.
•Should be able to write unit test cases using any of the frameworks and should be completely automated.
•Should have strong exposure in REST API design and principles and adhere to RAML/Swagger or Open API specification
•Should be able to do impact analysis and document the design of the components.
•Should be able to develop reusable components using proper design patterns as listed by lead/architect so that it is extensible.

 ",Permanent,"['{jdbc', '""core', 'java""', 'pl', 'sql', 'jquery', 'html', '""java', 'script""}']",JDJA8696,"•Understand requirement and translate that to product features.
•Participate in Scrum meetings and express the work done and the plan clearly. Participate in scrum ceremonies and clearly communicate.
•Develop applications using Front end, middleware, and database related technologies.
•Should be hands in developing and implementing best practices and write smart piece of code.
•Coding standard should be followed, and the code should be highly performant.
•Should be able to write unit test cases using any of the frameworks and should be completely automated.
•Should have strong exposure in REST API design and principles and adhere to RAML/Swagger or Open API specification
•Should be able to do impact analysis and document the design of the components.
•Should be able to develop reusable components using proper design patterns as listed by lead/architect so that it is extensible.

  ['{jdbc', '""core', 'java""', 'pl', 'sql', 'jquery', 'html', '""java', 'script""}']"
IT Infrastructure,{Ahmedabad},"Excellent Troubleshooting, diagnosing and resolving hardware, software, and other network and system problems.
- Should have knowledge as well as hands on experience of changing given components such as Hard Disk, CD Drives, Memory, Power Supply Unit(SMPS), Networking Card, Video Graphics Card, Hard Disk Controller Card On PC System
- Troubleshooting of personal computers online support to WFH Employees to solve their computer related problems.
- Computer assembling and maintenance.
- Installing software and application to user standards.
- Knowledge of commonly-used concepts, practices and procedures in the repairing process.
- Ability to verify warranty status and create tickets with vendors
- Ability to troubleshoot queries of different OS like linux,windows and MAC
- Able to manage assets like LCD, Laptops, CPU, Mouse, Keyboard etc in our asset management tool
- Monitoring network performance to determine if adjustments need to be made.
- Profound Knowledge of Cisco/Sophos device networking experience including routers & switches
- Candidates are able to travel in the city when required with their personal vehicle. (Reimbursement will be provided)
- Should be able to create proper documentation.",Permanent,"['{network', 'cisco', '""it', 'infrastructure""}']",JDII6892,"Excellent Troubleshooting, diagnosing and resolving hardware, software, and other network and system problems.
- Should have knowledge as well as hands on experience of changing given components such as Hard Disk, CD Drives, Memory, Power Supply Unit(SMPS), Networking Card, Video Graphics Card, Hard Disk Controller Card On PC System
- Troubleshooting of personal computers online support to WFH Employees to solve their computer related problems.
- Computer assembling and maintenance.
- Installing software and application to user standards.
- Knowledge of commonly-used concepts, practices and procedures in the repairing process.
- Ability to verify warranty status and create tickets with vendors
- Ability to troubleshoot queries of different OS like linux,windows and MAC
- Able to manage assets like LCD, Laptops, CPU, Mouse, Keyboard etc in our asset management tool
- Monitoring network performance to determine if adjustments need to be made.
- Profound Knowledge of Cisco/Sophos device networking experience including routers & switches
- Candidates are able to travel in the city when required with their personal vehicle. (Reimbursement will be provided)
- Should be able to create proper documentation. ['{network', 'cisco', '""it', 'infrastructure""}']"
Dot Net Developer,"{""New Delhi""}","Job description

Have good working knowledge on .Net, Asp.net, C#, MVC, Angular JS, Web (ASP.NET, JQuery ,JavaScript), LINQ, HTML, CSS)
 Strong MS SQL and ability to write procedure and SQL functions and queries.
 Keen to learn new technologies like Artificial Intelligence, Machine Learning.
 Working exposure to Test, Link, JIRA, GIT, Jenkins, Visual Studio 2015 or later, OOPs concepts, Cloud concepts.
 Should have availability and flexibility to work collaboratively in a team.
 Strong Communication Skills
 Proven Track Record in being able to work independently as well as manage a 23 member team.",Permanent,"['{""dot', 'net""', '""asp', 'dot', 'net""}']",JDDN5612,"Job description

Have good working knowledge on .Net, Asp.net, C#, MVC, Angular JS, Web (ASP.NET, JQuery ,JavaScript), LINQ, HTML, CSS)
 Strong MS SQL and ability to write procedure and SQL functions and queries.
 Keen to learn new technologies like Artificial Intelligence, Machine Learning.
 Working exposure to Test, Link, JIRA, GIT, Jenkins, Visual Studio 2015 or later, OOPs concepts, Cloud concepts.
 Should have availability and flexibility to work collaboratively in a team.
 Strong Communication Skills
 Proven Track Record in being able to work independently as well as manage a 23 member team. ['{""dot', 'net""', '""asp', 'dot', 'net""}']"
Technical Lead Project ManagerBackend,{HyderabadVijayawada},"Bachelors Degree
Experience in developing RESTful APIs for Web and Mobile applications
Proficient in Full Stack development with experience in designing solutions using
MongoDB, Node.js.Experience in different JavaScript frameworks (React, Angular,Vue).Experience with a CI/CD pipeline and deploying solutions in Cloud
Understanding of code versioning tools, such as Git
Familiar with serverless architecture (AWS lambda)
Knowledge of PHP and MySQL.
Minimum 5+ years’ experience as a cloud software developer.
Responsible Full Stack development. Work with Project Managers, developers and QA and deliver software as per business requirements.
Analyze and understand business requirements and prepare detailed design for Frontend,Backend and Database
Perform code and design reviews and guide the team in development.",Permanent,"['{php', 'mysql', 'mongodb', '""restful', 'apis""', 'react', 'angular', 'aws', '""cloud', 'software""}']",JDTL2683,"Bachelors Degree
Experience in developing RESTful APIs for Web and Mobile applications
Proficient in Full Stack development with experience in designing solutions using
MongoDB, Node.js.Experience in different JavaScript frameworks (React, Angular,Vue).Experience with a CI/CD pipeline and deploying solutions in Cloud
Understanding of code versioning tools, such as Git
Familiar with serverless architecture (AWS lambda)
Knowledge of PHP and MySQL.
Minimum 5+ years’ experience as a cloud software developer.
Responsible Full Stack development. Work with Project Managers, developers and QA and deliver software as per business requirements.
Analyze and understand business requirements and prepare detailed design for Frontend,Backend and Database
Perform code and design reviews and guide the team in development. ['{php', 'mysql', 'mongodb', '""restful', 'apis""', 'react', 'angular', 'aws', '""cloud', 'software""}']"
BackEnd Developer,{bangalore},"Experience in developing web applications using NodeJs.
Code, Test and operate node.js based services.
Good to have experience in UI.
Experience in interacting with Databases
Work closely with the Team Lead to deliver items in an Agile Environment.
Collaborate with QA team and solve their problems.
Git/Bit-Bucket for Source Code Management.
Seeing through a project from conception to finished product.
Exposure to developing UI will be an added advantage (Angular/React).
Meeting both technical and customer needs.",Permanent,"['{nodejs', 'agile', 'mysql}']",JDBD8188,"Experience in developing web applications using NodeJs.
Code, Test and operate node.js based services.
Good to have experience in UI.
Experience in interacting with Databases
Work closely with the Team Lead to deliver items in an Agile Environment.
Collaborate with QA team and solve their problems.
Git/Bit-Bucket for Source Code Management.
Seeing through a project from conception to finished product.
Exposure to developing UI will be an added advantage (Angular/React).
Meeting both technical and customer needs. ['{nodejs', 'agile', 'mysql}']"
Application DeveloperLinux,{ChennaiBangalorePune},Should have exp in C++ Development in Linux platform,Permanent,"['{c++', 'linux}']",JDAD8316,"Should have exp in C++ Development in Linux platform ['{c++', 'linux}']"
Material Engineer,{Hyderabad},"Experience in Item identification, material cataloging, populating technical details from all the resource, Item Duplicate analysis, Bill of Material Build, SPIR/SPIL review and creation, codification knowledge in MESC & UNSPSC. Exp : 02 to 05 Years",Permanent,"['{""material', 'cataloging""', '""item', 'identification""', '""bill', 'of', 'material', 'build""', '""codification', 'knowledge', 'in', 'mesc', '&', 'unspsc""}']",JDME5056,"Experience in Item identification, material cataloging, populating technical details from all the resource, Item Duplicate analysis, Bill of Material Build, SPIR/SPIL review and creation, codification knowledge in MESC & UNSPSC. Exp : 02 to 05 Years ['{""material', 'cataloging""', '""item', 'identification""', '""bill', 'of', 'material', 'build""', '""codification', 'knowledge', 'in', 'mesc', '&', 'unspsc""}']"
Shopify Developer,"{""Hyderabad ""}","

Shopify Developer

Organisation Name: Musquare Technologies
Location: Remote / Hyderabad
CTC: 7 - 10 Lakhs
NP: 0 -15 Days 
Exp - 2 - 4 years

Responsibilities:

A Shopify Developer’s primary role is to develop an interactive and competent Online Shopify Store for driving Sales and Revenue. 
The most important responsibility of a Shopify Developer is to generate custom Shopify Themes and modify pre-existing templates based on defined brand benchmarks.
Being a Shopify Expert, a Shopify Developer is expected to specialise in all facets of the ECommerce platform.
They are expected to collaborate with the UX and UI Design Teams to develop exclusive, robust, and innovative front-end user experiences.
Shopify Web Developers are required to ensure a seamless connection with Marketing Tools, Platform APIs, and Shopify Apps to optimise the store for sheer performance and needed functionalities.
They specialise in frequent Testing and Debugging of websites for better performance.",Permanent,"['{shopify', '""', 'ux', 'and', 'ui', 'design""', 'full-stack', 'html', 'css', '""json', 'rest""}']",JDSD3687,"

Shopify Developer

Organisation Name: Musquare Technologies
Location: Remote / Hyderabad
CTC: 7 - 10 Lakhs
NP: 0 -15 Days 
Exp - 2 - 4 years

Responsibilities:

A Shopify Developer’s primary role is to develop an interactive and competent Online Shopify Store for driving Sales and Revenue. 
The most important responsibility of a Shopify Developer is to generate custom Shopify Themes and modify pre-existing templates based on defined brand benchmarks.
Being a Shopify Expert, a Shopify Developer is expected to specialise in all facets of the ECommerce platform.
They are expected to collaborate with the UX and UI Design Teams to develop exclusive, robust, and innovative front-end user experiences.
Shopify Web Developers are required to ensure a seamless connection with Marketing Tools, Platform APIs, and Shopify Apps to optimise the store for sheer performance and needed functionalities.
They specialise in frequent Testing and Debugging of websites for better performance. ['{shopify', '""', 'ux', 'and', 'ui', 'design""', 'full-stack', 'html', 'css', '""json', 'rest""}']"
Technical Content Writer,{Mumbai/Pune},jnhcy,Permanent,"['{content', 'saas}']",JDTC1272,"jnhcy ['{content', 'saas}']"
Dot Net Developer,{Delhi},"Desired Candidate Profile: •	3-6 years of rapid web development experience using ASP.NETMVC framework 2.0 - 4.5 •	Advanced knowledge of Object-Oriented Design and Programming •	Development experience in HTML, XML, CSS •	Experience of developing Web Services (SOAP/ REST/ RESTFUL/ WCF/ WebAPI/ Microservices) •	Database experience with MSSQL/ MySQL/ others Good to have: •	Front-end development experience with any 1 JS framework (Angular JS/ React JS/ Vue JS) •	jQuery, bootstrap, C#, .NET core General expectations: •	Good understanding of web application development processes, from the layout/ user interface to relational database structure. •	Ability to understand Architecture and design applications accordingly •	Ability to understand and follow the software development processes •	Experience of managing a team of 2-3 developers •	Experience in handling clients",Permanent,"['{""asp.netmvc', '""', '""angular', 'js""', '"".net', 'core""', 'c#}']",JDDN3773,"Desired Candidate Profile: •	3-6 years of rapid web development experience using ASP.NETMVC framework 2.0 - 4.5 •	Advanced knowledge of Object-Oriented Design and Programming •	Development experience in HTML, XML, CSS •	Experience of developing Web Services (SOAP/ REST/ RESTFUL/ WCF/ WebAPI/ Microservices) •	Database experience with MSSQL/ MySQL/ others Good to have: •	Front-end development experience with any 1 JS framework (Angular JS/ React JS/ Vue JS) •	jQuery, bootstrap, C#, .NET core General expectations: •	Good understanding of web application development processes, from the layout/ user interface to relational database structure. •	Ability to understand Architecture and design applications accordingly •	Ability to understand and follow the software development processes •	Experience of managing a team of 2-3 developers •	Experience in handling clients ['{""asp.netmvc', '""', '""angular', 'js""', '"".net', 'core""', 'c#}']"
Java Application Support,{Bangalore},"Core Java, Hibernate, Unit testing (mockito), Linux basic operations, SQL queries and joins, Fitnesse testing framework etc.  Most importantly Should be good at coding interview problems (coderpad)     And should be able to atleast be familiar with BigO and time complexity etc...and also candidate should be able to clear the coderpad",Permanent,"['{java', 'hibernate}']",JDJA9310,"Core Java, Hibernate, Unit testing (mockito), Linux basic operations, SQL queries and joins, Fitnesse testing framework etc.  Most importantly Should be good at coding interview problems (coderpad)     And should be able to atleast be familiar with BigO and time complexity etc...and also candidate should be able to clear the coderpad ['{java', 'hibernate}']"
Dot Net developer,{Bangalore},"should be able to create code using one of the preferred languages. 
Shud be able to source project requirements, deciding on the most appropriate software solutions, and ensuring that developments are error-free. 
Utilizing Microsoft's .NET infrastructure to create software solutions that meet clients' requirements.
Collaborating with coworkers to facilitate the creation of large, complex developments, as required.
Reformulating existing code to ensure adherence to stipulated guidelines.
Checking your code to detect and remedy errors and omissions.
Testing your outputs to ensure that they are in excellent working order.
Ensuring that outputs are visually appealing, user-friendly, and engaging.
Deploying developments and monitoring uptake by the target audience.
Using clients' feedback to inform the creation of subsequent versions of each development.",Permanent,"['{""web', 'api""', 'linq', '.net', 'sql}']",JDDN6453,"should be able to create code using one of the preferred languages. 
Shud be able to source project requirements, deciding on the most appropriate software solutions, and ensuring that developments are error-free. 
Utilizing Microsoft's .NET infrastructure to create software solutions that meet clients' requirements.
Collaborating with coworkers to facilitate the creation of large, complex developments, as required.
Reformulating existing code to ensure adherence to stipulated guidelines.
Checking your code to detect and remedy errors and omissions.
Testing your outputs to ensure that they are in excellent working order.
Ensuring that outputs are visually appealing, user-friendly, and engaging.
Deploying developments and monitoring uptake by the target audience.
Using clients' feedback to inform the creation of subsequent versions of each development. ['{""web', 'api""', 'linq', '.net', 'sql}']"
 BigDatadeveloper,{Remote},"The purpose of position includes- Analysis , design and implementation of business requirements using PySpark Python
Cloudera Hadoop development around Big Data
Solid SQL experience
Development experience with PySpark SparkSql with good analytical debugging skillsShould be able to modify existing programming/codes for new requirements
Unit testing and debuggingPython Spark (SparkSQL , PySpark) , HDFS , Hive , Impala , Hue , Cloudera Hadoop , Zeppelin
Proficient knowledge of SQL with any RDBMS,CCA Spark
DevOps Knowledge is an added advantage
Singapore Wrk timings 8hrs/day
",Contract Hire,"['{""big', 'data', 'infrastructure""', 'sql', 'devops', '""hadoop', 'administration""', 'rdbms', 'sdlc', 'jira', 'automation}']",JDB7947,"The purpose of position includes- Analysis , design and implementation of business requirements using PySpark Python
Cloudera Hadoop development around Big Data
Solid SQL experience
Development experience with PySpark SparkSql with good analytical debugging skillsShould be able to modify existing programming/codes for new requirements
Unit testing and debuggingPython Spark (SparkSQL , PySpark) , HDFS , Hive , Impala , Hue , Cloudera Hadoop , Zeppelin
Proficient knowledge of SQL with any RDBMS,CCA Spark
DevOps Knowledge is an added advantage
Singapore Wrk timings 8hrs/day
 ['{""big', 'data', 'infrastructure""', 'sql', 'devops', '""hadoop', 'administration""', 'rdbms', 'sdlc', 'jira', 'automation}']"
Procurement Analyst,"{""Bangalore Urban""}","Work location: Prathik Tech Park, Electronic City Ph-1, Bengaluru, Karnataka.

Shift timings: 3PM to 12 AM

Total experience required: 4 years


JD:
Ensuring compliance with all related laws and regulations
Analyzing and evaluating supplier performance
Managing daily, monthly and quarterly reports
Managing and maintaining contracts with vendors
Coordinating with other departments
Pricing analysis on purchase order
Validating the purchase order
Coordinating with the buyers on the purchase level agreement

Looking for Minimum of a Bachelor’s Degree in Business Administration or related field
Minimum of 4 years of experience in procurement
Strong understanding of business processes
Excellent verbal and written communication skills
Strong interpersonal skills
Highly developed attention to detail
Strong excel / analytical skills
Ability to work in a team environment.
Ability to work in a fast-paced environment.

Skills
PROCUREMENT",Permanent,['{procurement}'],JDPA8040,"Work location: Prathik Tech Park, Electronic City Ph-1, Bengaluru, Karnataka.

Shift timings: 3PM to 12 AM

Total experience required: 4 years


JD:
Ensuring compliance with all related laws and regulations
Analyzing and evaluating supplier performance
Managing daily, monthly and quarterly reports
Managing and maintaining contracts with vendors
Coordinating with other departments
Pricing analysis on purchase order
Validating the purchase order
Coordinating with the buyers on the purchase level agreement

Looking for Minimum of a Bachelor’s Degree in Business Administration or related field
Minimum of 4 years of experience in procurement
Strong understanding of business processes
Excellent verbal and written communication skills
Strong interpersonal skills
Highly developed attention to detail
Strong excel / analytical skills
Ability to work in a team environment.
Ability to work in a fast-paced environment.

Skills
PROCUREMENT ['{procurement}']"
SAP Concur L2 technical Support,{Bengaluru},"SAP Concur L2 Technical Support:

Responsible for the configuration of parameters and settings within SAP Concur’s Travel, Expense and Invoice modules according to the overall design defined by the Functional Consultant.
Manage third-party and Concur integrations (e.g., credit cards, direct reimbursement to employees, direct payments to vendors)
Conduct initial testing of the product configurations.
Employees of this position are assigned to project teams within an assigned customer and utilize a variety of various platforms.
Incumbents collaborate with the Functional Consultants to ensure that the final system is according to business requirements.
Individuals in this job position are competent to perform work at the highest technical level within one or more functional areas.
They ensure that application functions are customized to meet business needs/processes and apply a broad knowledge of various technical skills to fulfil the same.",Permanent,"['{""sap', 'concur""}']",JDSC1617,"SAP Concur L2 Technical Support:

Responsible for the configuration of parameters and settings within SAP Concur’s Travel, Expense and Invoice modules according to the overall design defined by the Functional Consultant.
Manage third-party and Concur integrations (e.g., credit cards, direct reimbursement to employees, direct payments to vendors)
Conduct initial testing of the product configurations.
Employees of this position are assigned to project teams within an assigned customer and utilize a variety of various platforms.
Incumbents collaborate with the Functional Consultants to ensure that the final system is according to business requirements.
Individuals in this job position are competent to perform work at the highest technical level within one or more functional areas.
They ensure that application functions are customized to meet business needs/processes and apply a broad knowledge of various technical skills to fulfil the same. ['{""sap', 'concur""}']"
